"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"722","Dallas","Single Family Residential",139900,3,2,1784,7275,1978,78,"Texas",8457,116,781,3856,3704
"723","Dallas","Single Family Residential",159900,4,2,2155,9801,2003,74,"Texas",8457,116,781,3856,3704
"724","Dallas","Single Family Residential",329000,3,2,1724,7318,1925,191,"Texas",8457,116,781,3856,3704
"725","Dallas","Single Family Residential",219000,2,2,1036,3354,1981,211,"Texas",8457,116,781,3856,3704
"726","Dallas","Single Family Residential",279900,2,2,1229,3746,1981,228,"Texas",8457,116,781,3856,3704
"727","Dallas","Single Family Residential",132000,3,2,1513,8189,1958,87,"Texas",8457,116,781,3856,3704
"728","Dallas","Condo/Co-op",750000,2,2,1777,175373,2005,422,"Texas",8457,116,781,3856,3704
"729","Dallas","Single Family Residential",305000,3,2,1871,7841,1985,163,"Texas",8457,116,781,3856,3704
"730","Dallas","Single Family Residential",164900,4,2,1759,7231,2017,94,"Texas",8457,116,781,3856,3704
"731","Dallas","Single Family Residential",43000,3,2,1322,7841,1948,33,"Texas",8457,116,781,3856,3704
"732","Dallas","Single Family Residential",539000,4,2.5,2590,11456,1967,208,"Texas",8457,116,781,3856,3704
"733","Dallas","Condo/Co-op",550000,2,2,1710,65601,1981,322,"Texas",8457,116,781,3856,3704
"734","Dallas","Single Family Residential",537000,4,3.5,3164,7841,1984,170,"Texas",8457,116,781,3856,3704
"735","Dallas","Single Family Residential",190000,4,2.5,1687,10019,2017,113,"Texas",8457,116,781,3856,3704
"736","Dallas","Single Family Residential",614900,3,3.5,2425,1742,2017,254,"Texas",8457,116,781,3856,3704
"737","Dallas","Single Family Residential",699900,4,3.5,3424,14985,1966,204,"Texas",8457,116,781,3856,3704
"738","Dallas","Townhouse",495000,2,2.5,1438,958,2004,344,"Texas",8457,116,781,3856,3704
"739","Dallas","Condo/Co-op",745000,2,2,2386,29098,2000,312,"Texas",8457,116,781,3856,3704
"740","Dallas","Single Family Residential",365000,3,2.5,1821,8494,1967,200,"Texas",8457,116,781,3856,3704
"741","Dallas","Single Family Residential",163900,4,2,1586,4269,1996,103,"Texas",8457,116,781,3856,3704
"744","Dallas","Single Family Residential",159900,3,2,1502,4922,1984,106,"Texas",8457,116,781,3856,3704
"745","Dallas","Single Family Residential",575801,4,3,3093,9148,1982,186,"Texas",8457,116,781,3856,3704
"746","Dallas","Single Family Residential",315000,2,1,1320,7318,1938,239,"Texas",8457,116,781,3856,3704
"747","Dallas","Condo/Co-op",450000,2,2.5,1712,7231,2015,263,"Texas",8457,116,781,3856,3704
"748","Dallas","Single Family Residential",675000,5,4,3301,16161,1959,204,"Texas",8457,116,781,3856,3704
"749","Dallas","Single Family Residential",489000,3,2.5,2419,10019,1959,202,"Texas",8457,116,781,3856,3704
"750","Dallas","Single Family Residential",150000,3,1.5,1544,8233,1954,97,"Texas",8457,116,781,3856,3704
"751","Dallas","Single Family Residential",269900,4,3.5,2861,6621,2007,94,"Texas",8457,116,781,3856,3704
"752","Dallas","Single Family Residential",425000,3,2,1820,11674,1956,234,"Texas",8457,116,781,3856,3704
"753","Dallas","Single Family Residential",179500,4,2,1944,7579,1998,92,"Texas",8457,116,781,3856,3704
"754","Dallas","Single Family Residential",225000,3,2.5,1618,10585,1962,139,"Texas",8457,116,781,3856,3704
"755","Dallas","Single Family Residential",325000,4,3.5,2840,33715,1979,114,"Texas",8457,116,781,3856,3704
"756","Dallas","Condo/Co-op",157900,2,2,840,110250,1984,188,"Texas",8457,116,781,3856,3704
"757","Dallas","Single Family Residential",149900,3,2,1485,10019,2004,101,"Texas",8457,116,781,3856,3704
"758","Dallas","Single Family Residential",310000,3,2,2399,9278,1951,129,"Texas",8457,116,781,3856,3704
"759","Dallas","Single Family Residential",459900,4,3,2835,8712,1986,162,"Texas",8457,116,781,3856,3704
"760","Dallas","Single Family Residential",157500,3,2,1358,4008,2006,116,"Texas",8457,116,781,3856,3704
"761","Dallas","Condo/Co-op",250000,2,2.5,1170,100406,1982,214,"Texas",8457,116,781,3856,3704
"762","Dallas","Single Family Residential",649000,3,2.5,2583,7057,1926,251,"Texas",8457,116,781,3856,3704
"763","Dallas","Single Family Residential",875000,4,3.5,3284,7492,2004,266,"Texas",8457,116,781,3856,3704
"764","Dallas","Condo/Co-op",136879,2,1,1112,481382,1968,123,"Texas",8457,116,781,3856,3704
"765","Dallas","Single Family Residential",529900,3,2,1830,7187,1947,290,"Texas",8457,116,781,3856,3704
"766","Dallas","Single Family Residential",685000,4,3.5,3176,12807,1971,216,"Texas",8457,116,781,3856,3704
"767","Dallas","Single Family Residential",309900,2,1,1110,7884,1953,279,"Texas",8457,116,781,3856,3704
"768","Dallas","Single Family Residential",129000,3,1.5,1661,8102,1956,78,"Texas",8457,116,781,3856,3704
"769","Dallas","Condo/Co-op",205000,2,1.5,1058,261752,1981,194,"Texas",8457,116,781,3856,3704
"770","Dallas","Multi-Family (2-4 Unit)",659000,2,2.5,2530,6882,2017,260,"Texas",8457,116,781,3856,3704
"771","Dallas","Single Family Residential",350000,4,2.5,2713,7536,1993,129,"Texas",8457,116,781,3856,3704
"772","Dallas","Single Family Residential",165000,4,2,1649,7057,2018,100,"Texas",8457,116,781,3856,3704
"773","Dallas","Single Family Residential",150000,3,2,1560,6752,1979,96,"Texas",8457,116,781,3856,3704
"774","Dallas","Single Family Residential",167000,2,2,1228,5489,1926,136,"Texas",8457,116,781,3856,3704
